,geometry
385090,POINT (-49.44998168945312 -21.64999961853027)
385091,POINT (-49.35000610351562 -21.64999961853027)
385092,POINT (-49.25 -21.64999961853027)
385093,POINT (-49.14999389648438 -21.64999961853027)
385094,POINT (-49.04998779296875 -21.64999961853027)
385095,POINT (-48.94998168945312 -21.64999961853027)
385096,POINT (-48.85000610351562 -21.64999961853027)
385097,POINT (-48.75 -21.64999961853027)
385098,POINT (-48.64999389648438 -21.64999961853027)
385099,POINT (-48.54998779296875 -21.64999961853027)
385100,POINT (-48.44998168945312 -21.64999961853027)
385101,POINT (-48.35000610351562 -21.64999961853027)
386084,POINT (-50.14999389648438 -21.54999923706055)
386085,POINT (-50.04998779296875 -21.54999923706055)
386086,POINT (-49.94998168945312 -21.54999923706055)
386087,POINT (-49.85000610351562 -21.54999923706055)
386088,POINT (-49.75 -21.54999923706055)
386089,POINT (-49.64999389648438 -21.54999923706055)
386090,POINT (-49.54998779296875 -21.54999923706055)
386091,POINT (-49.44998168945312 -21.54999923706055)
386092,POINT (-49.35000610351562 -21.54999923706055)
386093,POINT (-49.25 -21.54999923706055)
386094,POINT (-49.14999389648438 -21.54999923706055)
386095,POINT (-49.04998779296875 -21.54999923706055)
386096,POINT (-48.94998168945312 -21.54999923706055)
386097,POINT (-48.85000610351562 -21.54999923706055)
386098,POINT (-48.75 -21.54999923706055)
386099,POINT (-48.64999389648438 -21.54999923706055)
386100,POINT (-48.54998779296875 -21.54999923706055)
386101,POINT (-48.44998168945312 -21.54999923706055)
387084,POINT (-50.25 -21.45000076293945)
387085,POINT (-50.14999389648438 -21.45000076293945)
387086,POINT (-50.04998779296875 -21.45000076293945)
387087,POINT (-49.94998168945312 -21.45000076293945)
387088,POINT (-49.85000610351562 -21.45000076293945)
387089,POINT (-49.75 -21.45000076293945)
387090,POINT (-49.64999389648438 -21.45000076293945)
387091,POINT (-49.54998779296875 -21.45000076293945)
387092,POINT (-49.44998168945312 -21.45000076293945)
387093,POINT (-49.35000610351562 -21.45000076293945)
387094,POINT (-49.25 -21.45000076293945)
387095,POINT (-49.14999389648438 -21.45000076293945)
387096,POINT (-49.04998779296875 -21.45000076293945)
387097,POINT (-48.94998168945312 -21.45000076293945)
387098,POINT (-48.85000610351562 -21.45000076293945)
387099,POINT (-48.75 -21.45000076293945)
387100,POINT (-48.64999389648438 -21.45000076293945)
387101,POINT (-48.54998779296875 -21.45000076293945)
387102,POINT (-48.44998168945312 -21.45000076293945)
387103,POINT (-48.35000610351562 -21.45000076293945)
388086,POINT (-50.14999389648438 -21.35000038146973)
388087,POINT (-50.04998779296875 -21.35000038146973)
388088,POINT (-49.94998168945312 -21.35000038146973)
388089,POINT (-49.85000610351562 -21.35000038146973)
388090,POINT (-49.75 -21.35000038146973)
388091,POINT (-49.64999389648438 -21.35000038146973)
388092,POINT (-49.54998779296875 -21.35000038146973)
388093,POINT (-49.44998168945312 -21.35000038146973)
388094,POINT (-49.35000610351562 -21.35000038146973)
388095,POINT (-49.25 -21.35000038146973)
388096,POINT (-49.14999389648438 -21.35000038146973)
388097,POINT (-49.04998779296875 -21.35000038146973)
388098,POINT (-48.94998168945312 -21.35000038146973)
388099,POINT (-48.85000610351562 -21.35000038146973)
388100,POINT (-48.75 -21.35000038146973)
388101,POINT (-48.64999389648438 -21.35000038146973)
388102,POINT (-48.54998779296875 -21.35000038146973)
389087,POINT (-50.14999389648438 -21.25)
389088,POINT (-50.04998779296875 -21.25)
389089,POINT (-49.94998168945312 -21.25)
389090,POINT (-49.85000610351562 -21.25)
389091,POINT (-49.75 -21.25)
389092,POINT (-49.64999389648438 -21.25)
389093,POINT (-49.54998779296875 -21.25)
389094,POINT (-49.44998168945312 -21.25)
389095,POINT (-49.35000610351562 -21.25)
389096,POINT (-49.25 -21.25)
389097,POINT (-49.14999389648438 -21.25)
389098,POINT (-49.04998779296875 -21.25)
389099,POINT (-48.94998168945312 -21.25)
390088,POINT (-50.14999389648438 -21.14999961853027)
390089,POINT (-50.04998779296875 -21.14999961853027)
390090,POINT (-49.94998168945312 -21.14999961853027)
390091,POINT (-49.85000610351562 -21.14999961853027)
390092,POINT (-49.75 -21.14999961853027)
390093,POINT (-49.64999389648438 -21.14999961853027)
390094,POINT (-49.54998779296875 -21.14999961853027)
390095,POINT (-49.44998168945312 -21.14999961853027)
390096,POINT (-49.35000610351562 -21.14999961853027)
390097,POINT (-49.25 -21.14999961853027)
390098,POINT (-49.14999389648438 -21.14999961853027)
391090,POINT (-50.04998779296875 -21.04999923706055)
391091,POINT (-49.94998168945312 -21.04999923706055)
391092,POINT (-49.85000610351562 -21.04999923706055)
391093,POINT (-49.75 -21.04999923706055)
391094,POINT (-49.64999389648438 -21.04999923706055)
391095,POINT (-49.54998779296875 -21.04999923706055)
391096,POINT (-49.44998168945312 -21.04999923706055)
391097,POINT (-49.35000610351562 -21.04999923706055)
391098,POINT (-49.25 -21.04999923706055)
392091,POINT (-50.04998779296875 -20.95000076293945)
392092,POINT (-49.94998168945312 -20.95000076293945)
392093,POINT (-49.85000610351562 -20.95000076293945)
392094,POINT (-49.75 -20.95000076293945)
392095,POINT (-49.64999389648438 -20.95000076293945)
392096,POINT (-49.54998779296875 -20.95000076293945)
392097,POINT (-49.44998168945312 -20.95000076293945)
392098,POINT (-49.35000610351562 -20.95000076293945)
393092,POINT (-50.04998779296875 -20.85000038146973)
393093,POINT (-49.94998168945312 -20.85000038146973)
393094,POINT (-49.85000610351562 -20.85000038146973)
393095,POINT (-49.75 -20.85000038146973)
393097,POINT (-49.54998779296875 -20.85000038146973)
394093,POINT (-50.04998779296875 -20.75)
394094,POINT (-49.94998168945312 -20.75)
394095,POINT (-49.85000610351562 -20.75)
